cifar10, arcface2
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
21        1.429355    1.408849    0.725700  00:31                                                                                                        
22        1.421274    1.401371    0.729000  00:31                                                                                                        
23        1.403719    1.398773    0.732300  00:31                                                                                                        
24        1.412492    1.398624    0.731100  00:30                                                                                                        
25        1.406864    1.398129    0.731700  00:31                                                                                                        
26        1.398349    1.399054    0.731600  00:31                                                                                                        
27        1.397962    1.395820    0.733500  00:31                                                                                                        
28        1.388469    1.395393    0.732800  00:30                                                                                                        
29        1.418012    1.394583    0.732800  00:31                                                                                                        
cifar10; training: 2
